state,2010,2012
Alabama,7,7
Alaska,1,1
Arizona,8,9
Arkansas,4,4
California,53,53
Colorado,7,7
Connecticut,5,5
Delaware,1,1
Florida,25,27
Georgia,13,14
Hawaii,2,2
Idaho,2,2
Illinois,19,18
Indiana,9,9
Iowa,5,4
Kansas,4,4
Kentucky,6,6
Louisiana,7,6
Maine,2,2
Maryland,8,8
Massachusetts,10,9
Michigan,15,14
Minnesota,8,8
Mississippi,4,4
Missouri,9,8
Montana,1,1
Nebraska,3,3
Nevada,3,4
New Hampshire,2,2
New Jersey,13,12
New Mexico,3,3
New York,29,27
North Carolina,13,13
North Dakota,1,1
Ohio,18,16
Oklahoma,5,5
Oregon,5,5
Pennsylvania,19,18
Rhode Island,2,2
South Carolina,6,7
South Dakota,1,1
Tennessee,9,9
Texas,32,36
Utah,3,4
Vermont,1,1
Virginia,11,11
Washington,9,10
West Virginia,3,3
Wisconsin,8,8
Wyoming,1,1
